id	name	staple	meat	fruit	veg
1	飯/1碗	4	0	0	0
2	飯/50g	1	0	0	0
3	生米/20g	1	0	0	0
4	熟麵/1碗(陽春麵、烏龍麵、米粉、河粉)	3	0	0	0
5	熟麵/60g	1	0	0	0
6	熟麵/1碗(米苔目、麵線)	2	0	0	0
7	生的乾麵條/20g (義大利麵、麵線、關廟麵）	1	0	0	0
8	麥片/2湯匙	1	0	0	0
9	生麥片/20g	1	0	0	0
10	方形吐司(去邊)/1片	1	0	0	0
11	拱形吐司(有邊)/1片	2	0	0	0
12	吐司或無餡麵包/25g	1	0	0	0
13	漢堡/1個	3	0	0	0
14	漢堡/25g	1	0	0	0
15	貝果/1個	4	0	0	0
16	貝果/25g	1	0	0	0
17	原味蛋餅/1份	2	1	0	0
18	傳統飯糰(不油條)，3指寬，長度3分之2手掌大/1個	3	1	0	0
19	傳統飯糰(不油條)，4指寬，長度3分之2手掌大/1個	4	1	0	0
20	饅頭/1個	4	0	0	0
21	饅頭/30g	1	0	0	0
22	肉包掌心大/1個	3	1	0	0
23	菜包掌心大/1個	3	0	0	0
24	八方雲集水餃/2個	1	1	0	0
25	冷凍水餃/3個	1	1	0	0
26	鼎泰豐鮮蝦餛飩/3個	1	1	0	0
27	汾陽餛飩/4個	1	1	0	0
28	溫州餛飩/2個	1	2	0	0
29	潤餅(不花生粉、糖粉、蛋酥、香腸)/1個	2	2	0	0
30	割包(不花生粉、糖粉、醃製配菜、去肥肉）/1個	3	2	0	0
31	越式涼皮春卷/1條	1	1	0	0
32	玉米/1根	2	0	0	0
33	玉米食指長度/1截	1	0	0	0
34	玉米粒/3湯匙	1	0	0	0
35	地瓜/1碗	3	0	0	0
36	地瓜/1個雞蛋大小	1	0	0	0
37	地瓜(帶皮，一次最多不超過 4 份)/65g	1	0	0	0
38	馬鈴薯/3分之2碗	1	0	0	0
39	馬鈴薯/90g	1	0	0	0
40	芋頭/1碗	2	0	0	0
41	芋頭/55g	1	0	0	0
42	南瓜/1碗	2	0	0	0
43	南瓜/85g	1	0	0	0
44	珍珠/3湯匙	1	0	0	0
45	珍珠/大杯	2	0	0	0
46	綠豆不含湯/1碗	4	0	0	0
47	熟綠豆/50g	1	0	0	0
48	紅豆不含湯/1碗	4	0	0	0
49	熟紅豆/50g	1	0	0	0
50	薏仁不含湯/1碗	4	0	0	0
51	熟薏仁/50g	1	0	0	0
52	御飯糰(避免明太子、卵、鮪魚、美乃滋)/1個	2	1	0	0
53	紐奧良烤雞三明治(去皮)/1個	2	2	0	0
54	喝的桂格燕麥飲290mL/1瓶	2	0	0	0
55	顆粒燕麥飲290mL/1瓶	2	0	0	0
56	蛋/1個	0	1	0	0
57	橢圓狀火鍋肉片/3片	0	1	0	0
58	長條狀火鍋肉片/2片	0	1	0	0
59	熟肉(雞豬牛羊魚)/1碗	0	4	0	0
60	熟肉(雞豬牛羊魚)/30g	0	1	0	0
